,n,ori,A'_MPI,A'_AW,A'_V,A'_¦Ñ,A'_VIP,A'_Ha,A'_EI,A'_NI,A'_DMD,A_MPI,A_EN,A_VIP,A_DMD,B_W,B_E(m&b,B_E(p),B_E(a&R) ,B_E,B_EI1,B_EI2,B_EI3,B_CPM,B_VEN,B_Tm,B_Tb,B_EV,B_EM,B_R,B_IR,X_W,X_IR
53,1,2,8.44212381,90.16752,135.80644,1.1025,-6.6805,12.8233,6.6833,-8.6533,0.0001,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,79.904,0.4
54,1,2,8.44212381,90.16752,135.80644,1.1025,-6.6805,12.8233,6.6833,-8.6533,0.0001,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,35.453,0.99
55,1,1,8.44212381,90.16752,135.80644,1.1025,-6.6805,12.8233,6.6833,-8.6533,0.0001,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
56,1,2,8.44212381,90.16752,135.80644,1.1025,-6.6805,12.8233,6.6833,-8.6533,0.0001,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
57,1,1,8.44212381,90.16752,135.80644,1.1025,-6.6805,12.8233,6.6833,-8.6533,0.0001,0,0,0,0,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,0.65,1.03,126.905,0.65
58,1,1,4.25835914,119.14414,143.8359,1.3755,13.3011,8.7638,4.5387,-2.191,4.8171,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,79.904,0.4
59,1,1,4.25835914,119.14414,143.8359,1.3755,13.3011,8.7638,4.5387,-2.191,4.8171,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,35.453,0.99
60,1,1,4.37573865,100.18229,149.96722,1.1093,13.6054,9.8617,3.8151,-3.5721,5.58713,0,0,0,0,112.411,1.4,1.7,1.46,4.33,867.7,1631,3616,4.05,12,594,1038,100,6.4,0.93,1.81,79.904,0.4
61,1,1,4.70221367,90.10125,112.70969,1.3275,14.2153,10.1704,4.0981,-2.7525,12.173258,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,79.904,0.4
62,3,1,5.41010136,46.0917,77.09811,0.9927,-3.792,13.228,4.0936,-6.0148,3.791271,5.41010136,2.963739861,-3.792,3.791271,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,79.904,0.4
